ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile50.0,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,self-esteem
235,23.134903,0.061882835,22.944221,0.4484526,0.45279068,0.42975023,0.22069666,0.7205294,4.2953176,0.4193875,-19.391272,-0.2968276,0.257,0.3576285,32
238,34.803665,0.11371552,35.623528,0.49336433,0.37240943,0.48327574,0.25688723,0.5156443,7.62392,0.3508834,-20.542164,-0.2920405,0.18656862,0.2700018,21
239,34.720592,0.08776072,35.19109,0.49300838,0.40623337,0.47737932,0.25706744,0.60555863,8.4282875,0.32403868,-21.50322,-0.2993923,0.14227848,0.18065244,30
241,35.26353,0.07140604,35.4799,0.53096944,0.3528255,0.51724434,0.22782406,0.53458893,8.747291,0.3281214,-19.962719,-0.32647294,0.16445783,0.21825293,34
242,33.101868,0.07408941,33.36669,0.50969267,0.43741152,0.49294993,0.21030343,0.50067955,6.606896,0.3649847,-16.428507,-0.35529226,0.23222221,0.31289566,34
243,34.61821,0.09477466,35.2149,0.3258107,0.43563077,0.28786838,0.13559873,0.66529596,8.847651,0.32129472,-20.901722,-0.2947511,0.36245903,0.47948962,23
245,34.913857,0.05908425,34.92994,0.4783807,0.4207366,0.47806987,0.24483907,0.6378629,7.945038,0.34509695,-20.762262,-0.31396866,0.22060241,0.58376294,30
247,35.902805,0.07674826,36.325123,0.3342823,0.41884947,0.29447144,0.12534133,0.5611656,8.793527,0.2839147,-20.634182,-0.30604666,0.3775,1.2080628,29
248,24.100153,0.05401145,23.768835,0.45837477,0.42437175,0.43528524,0.21154924,0.582788,4.331261,0.4288137,-19.237223,-0.3265576,0.24865854,0.40447417,33
249,33.792145,0.058142498,33.754875,0.8265629,0.5055057,0.82209796,0.42603436,0.6690992,8.126488,0.34410447,-15.837487,-0.36139813,0.19614035,0.27078024,36
251,34.13701,0.066379905,34.076138,0.68451023,0.40834045,0.6512556,0.3996473,0.58433855,7.275415,0.36916316,-17.668697,-0.37810206,0.16607477,0.20428477,35
253,33.803604,0.074030496,34.063095,0.495042,0.3195127,0.4751886,0.19423991,0.47543088,7.3671117,0.35113582,-16.568779,-0.34990776,0.2612222,0.27837956,28
255,33.13121,0.07379682,33.058628,0.7162655,0.5250899,0.6646519,0.37814945,0.7632769,6.791827,0.43542683,-16.460884,-0.40864828,0.16758241,0.39715293,29
257,25.194815,0.1153916,24.04826,0.52215666,0.48138413,0.48794517,0.23444436,0.6557334,4.3337436,0.52911276,-17.270105,-0.31055254,0.24142855,0.45925063,34
262,33.68108,0.114491425,34.638718,0.38924107,0.36326912,0.3751295,0.15870121,0.51962876,7.2210507,0.39254826,-19.279932,-0.35409015,0.30402777,0.5313836,34
263,36.584415,0.049465388,36.697952,0.721207,0.32857475,0.6917887,0.2968166,0.41377312,6.812875,0.35448307,-12.852066,-0.4711365,0.13933884,0.1284088,31
264,32.007927,0.18243325,35.065746,0.3752463,0.26651466,0.36494365,0.15505077,0.42911494,7.025643,0.42002833,-21.413261,-0.25485134,0.19508928,0.20848086,30
267,33.309814,0.12530127,34.56578,0.3407251,0.42168528,0.3201349,0.14612755,0.6868726,8.706445,0.31456244,-23.359398,-0.23725565,0.2809836,0.47809973,24
